label,text
smishing,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com
ham,"FRAN I DECIDED 2 GO N E WAY IM COMPLETELY BROKE AN KNACKERED I GOT UP BOUT 3 C U 2MRW LOVE JANX P.S THIS IS MY DADS FONE, -NO CREDIT"
ham,Are you this much buzy�.I don�t think so
ham,Can't take any major roles in community outreach. You rock mel
smishing,We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT + free camcorder Reply of call 08000930705 Now
ham,Sounds great! Im going to sleep now. Have a good night!
ham,Hi. Hope you had a good day. Have a better night.
ham,"How about clothes, jewelry, and trips?"
ham,Good morning princess! How are you?
spam,"Play CricEx LIVE during India vs. Netherlands match - WIN iPad,  Blackberry & Team India Jerseys at the end of the match. Logon to http://m.ibibo.com/c/10"
ham,"Sorry man, accidentally left my phone on silent last night and didn't check it til I got up"
spam,FREE entry into our £350 weekly competition just text the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk
ham,Did you stitch his trouser
ham,"Yeah sure, give me a couple minutes to track down my wallet"
ham,Nah dub but je still buff
ham,"I'll get there at 3, unless you guys want me to come some time sooner"
ham,"Enjoy the showers of possessiveness poured on u by ur loved ones, bcoz in this world of lies, it is a golden gift to be loved truly.."
ham,"Im sorry bout last nite it wasnt ur fault it was me, spouse it was pmt or sumthin! U 4give me? I think u shldxxxx"
ham,Dear reached railway. What happen to you
ham,Don no da:)whats you plan? Let mw know�
smishing,"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com"
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room"
ham,I like you peoples very much:) but am very shy pa.
ham,I wan but too early lei... Me outside now wun b home so early... Neva mind then...
smishing,"URGENT! Your Mobile No was awarded a £2,000 Bonus Caller Prize on 1/08/03! This is our 2nd attempt to contact YOU! Call 0871-4719-523 BOX95QU BT National Rate"
ham,Yep then is fine 7.30 or 8.30 for ice age.
ham,"I don't think I can get away for a trek that long with family in town, sorry"
smishing,"5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, £3 per pole. UnSub 08718727870."
ham,"SHIT BABE.. THASA BIT MESSED UP.YEH, SHE SHUDVETOLD U. DID URGRAN KNOW?NEWAY, ILLSPEAK 2 U2MORO WEN IM NOT ASLEEP..."
ham,Send me yetty's number pls.
ham,I AM AT A PARTY WITH ALEX NICHOLS
spam,Missed call alert. These numbers called but left no message. 07008009200
ham,Ambrith..madurai..met u in arun dha marrge..remembr?
smishing,"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm"
ham,Be sure to check your yahoo email. We sent photos yesterday
ham,"I'm not smoking while people use ""wylie smokes too much"" to justify ruining my shit"
ham,So wats ur opinion abt him and how abt is character?
ham,will you like to be spoiled? :)
ham,"Yep, by the pretty sculpture"
ham,The monthly amount is not that terrible and you will not pay anything till 6months after finishing school.
ham,One small prestige problem now.
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. £1.50 SP:Tyrone
spam,FREE entry into our £250 weekly comp just send the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk
ham,I told that am coming on wednesday.
ham,Its normally hot mail. Com you see!
ham,No problem. We will be spending a lot of quality time together...
ham,No no. I will check all rooms befor activities
spam,INTERFLORA - It's not too late to order Interflora flowers for christmas call 0800 505060 to place your order before Midnight tomorrow.
ham,Bull. Your plan was to go floating off to IKEA with me without a care in the world. So i have to live with your mess another day.
ham,Then we gotta do it after that
ham,Uhhhhrmm isnt having tb test bad when youre sick
ham,Fine if thats the way u feel. Thats the way its gota b
ham,I'm in a movie. Call me 4 wat?
ham,I want to sent  30 mesages today. Sorry
ham,Beauty sleep can help ur pimples too.
ham,SO IS TH GOWER MATE WHICH IS WHERE I AM!?! HOW R U MAN? ALL IS GOOD IN WALES ILL B BACK MORROW. C U THIS WK? WHO WAS THE MSG 4?  RANDOM!
ham,Your board is working fine. The issue of overheating is also reslove. But still software inst is pending. I will come around 8'o clock.
ham,Oh oh... Den muz change plan liao... Go back have to yan jiu again...
smishing,FREE MSG:We billed your mobile number by mistake from shortcode 83332.Please call 08081263000 to have charges refunded.This call will be free from a BT landline
ham,How long does it take to get it.
smishing,"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply. To stop texts, txt STOP to 80062"
ham,Do you like Italian food?
ham,I will be gentle baby! Soon you will be taking all ..
ham,Whens your radio show?
ham,"I‘ve got some salt, you can rub it in my open wounds if you like!"
ham,I don't know jack shit about anything or i'd say/ask something helpful but if you want you can pretend that I did and just text me whatever in response to the hypotheticalhuagauahahuagahyuhagga
ham,Lemme know when you're here
ham,Guess who spent all last night phasing in and out of the fourth dimension
ham,Wait 2 min..stand at bus stop
ham,If he started searching he will get job in few days.he have great potential and talent.
ham,I sent them. Do you like?
ham,Is that on the telly? No its Brdget Jones!
ham,Noooooooo please. Last thing I need is stress. For once in your life be fair.
ham,"Cool, I'll text you when I'm on the way"
ham,"Nothing, i got msg frm tht unknown no.."
ham,Yes:)here tv is always available in work place..
ham,Hi Harish's rent has been transfred to ur Acnt.
ham,I'm putting it on now. It should be ready for  &lt;TIME&gt;
ham,"Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)"
ham,Haha i think i did too
ham,Hey come online! Use msn... We are all there
ham,No but the bluray player can
ham,I want to be inside you every night...
ham,ALRITE HUNNY!WOT U UP 2 2NITE? DIDNT END UP GOIN DOWN TOWN JUS DA PUB INSTEAD! JUS CHILLIN AT DA MO IN ME BEDROOM!LOVE JEN XXX.
smishing,You have 1 new voicemail. Please call 08719181513.
ham,Then any special there?
ham,"Sometimes we put walls around our hearts,not just to be safe from getting hurt.. But to find out who cares enough to break the walls &amp; get closer.. GOODNOON:)"
ham,"Fyi I'm taking a quick shower, be at epsilon in like  &lt;#&gt;  min"
ham,"No, but you told me you were going, before you got drunk!"
ham,"Cool, text me when you head out"
ham,Yeah my usual guy's out of town but there're definitely people around I know
ham,"I am .. On the snowboarding trip. I was wondering if your planning to get everyone together befor we go..a meet and greet kind of affair? Cheers,"
ham,"Oh, my love, it's soooo good to hear from you. Omg I missed you so much today. I'm sorry your having problems with the provider but thank you for tming me"
ham,Those cocksuckers. If it makes you feel better ipads are worthless garbage novelty items and you should feel bad for even wanting one
smishing,"ATM BLOCK:Dear customer, Due to our system upgrade your ATM card has just been BL0CKED. To Re-Activate call customer care for help 8927307655 now."
ham,Then u going ikea str aft dat?
smishing,Todays Voda numbers ending 1225 are selected to receive a £50award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app
ham,"Sorry, I'll call later..busy somewhere.."
ham,Now only i reached home. . . I am very tired now. . I will come tomorro
ham,So there's a ring that comes with the guys costumes. It's there so they can gift their future yowifes. Hint hint
ham,"Helloooo... Wake up..! ""Sweet"" ""morning"" ""welcomes"" ""You"" ""Enjoy"" ""This Day"" ""with full of joy"".. ""GUD MRNG""."
ham,Go where n buy? Juz buy when we get there lar.
smishing,URGENT! Your Mobile number has been awarded a <UKP>2000 prize GUARANTEED. Call 09061790125 from landline. Claim 3030. Valid 12hrs only 150ppm
ham,WOT STUDENT DISCOUNT CAN U GET ON BOOKS?
spam,Get a brand new mobile phone by being an agent of The Mob! Plus loads more goodies! For more info just text MAT to 87021.
ham,Okie..nice to hear that..
ham,"Ah, well that confuses things, doesnt it? I thought was friends with now. Maybe i did the wrong thing but i already sort of invited -tho he may not come cos of money."
ham,Waaaat?? Lololo ok next time then!
ham,"I dun thk i'll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den..."
ham,And he's apparently bffs with carly quick now
spam,WIN a year supply of CDs 4 a store of ur choice worth £500 & enter our £100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3
ham,Glad to see your reply.
ham,Wishing you a wonderful week.
ham,Meeting u is my work. . . Tel me when shall i do my work tomorrow
ham,What happen dear tell me
ham,Carlos says we can pick up from him later so yeah we're set
smishing,Welcome to Paytm payment bank your re verification done successful in your wallet get 1205 cashback click in link and login your paytm http://7e4d6417.ngrok.io/paytm
ham,Oooh bed ridden ey? What are YOU thinking of?
ham,ALSO TELL HIM I SAID HAPPY BIRTHDAY
ham,And by when you're done I mean now
smishing,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW
ham,Anything lor if they all go then i go lor...
ham,Mode men or have you left.
ham,We are pleased to inform that your application for Airtel Broadband is processed successfully. Your installation will happen within 3 days.
ham,Dont kick coco when he's down
ham,Only saturday and sunday holiday so its very difficult:)
ham,This single single answers are we fighting? Plus i said am broke and you didnt reply
smishing,"Dear Customer,U've been selected to stay in F1VE STAR hotels - FOR T0DAY'S DRAW! Holiday valued at INR 5,00,000.Dial 6299257179 to claim"
ham,Sac will score big hundred.he is set batsman:-)
ham,Can you do a mag meeting this avo at some point?
ham,Yes ammae....life takes lot of turns you can only sit and try to hold the steering...
ham,Carlos says he'll be at mu in  &lt;#&gt;  minutes
ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?
ham,"Sir, I need Velusamy sir's date of birth and company bank facilities details."
ham,May i call You later Please..I am busy ryt nw�
ham,"Al he does is moan at me if n e thin goes wrong its my fault&al de arguments r my fault&fed up of him of himso y bother? Hav 2go, thanx.xx"
ham,"No i'm not. I can't give you everything you want and need. You actually could do better for yourself on yor own--you've got more money than i do. I can't get work, i can't get a man, i can't pay the rent, i can't even fill my  gas tank. yes, i'm stressed and depressed. I didn't even call home for thanksgiving cuz i'll have to tell them i,m up to nothing."
ham,R U &SAM P IN EACHOTHER. IF WE MEET WE CAN GO 2 MY HOUSE
ham,I called but no one pick up e phone. I ask both of them already they said ok.
ham,No i am not having not any movies in my laptop
smishing,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597
ham,You are a great role model. You are giving so much and i really wish each day for a miracle but God as a reason for everything and i must say i wish i knew why but i dont. I've looked up to you since i was young and i still do. Have a great day.
ham,"Okay, good, no problem, and thanx!"
spam,"u r subscribed 2 TEXTCOMP 250 wkly comp. 1st wk?s free question follows, subsequent wks charged@150p/msg.2 unsubscribe txt STOP 2 84128,custcare 08712405020"
ham,Just nw i came to hme da..
ham,I am back. Bit long cos of accident on a30. Had to divert via wadebridge.I had a brilliant weekend thanks. Speak soon. Lots of love
smishing,"For ur chance to win a £250 wkly shopping spree TXT: SHOP to 80878. T's&C's  custcare 08715705022, 1x150p/wk"
ham,Sir send to group mail check it.
ham,Hey gals...U all wanna meet 4 dinner at nìte?
ham,2 and half years i missed your friendship:-)
smishing,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50"
smishing,U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08
ham,Gd luck 4 ur exams :-)
ham,So how many days since then?
ham,"Yetunde, i'm sorry but moji and i seem too busy to be able to go shopping. Can you just please find some other way to get what you wanted us to get. Please forgive me. You can reply free via yahoo messenger."
spam,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?"
ham,Have you heard from this week?
ham,I will spoil you in bed as well :)
ham,Busy here. Trying to finish for new year. I am looking forward to finally meeting you...
ham,"Its ok, called mom instead have fun"
smishing,"Please call our customer service representative on 7908807538 between 10am-9pm as you have W0N a guaranteed cash prize of Rs.6,00,000. FL1PKART TEAM"
ham,True. Its easier with her here.
smishing,"Dear V0DAF0NE Customer,You are a W1NNER of Rs. 1,00,000 Guaranteed Prize, this is our Final attempt to contact you! To Claim Call 6299257179 Now!"
ham,Why must we sit around and wait for summer days to celebrate. Such a magical sight when the worlds dressed in white. Oooooh let there be snow.
ham,"As in missionary hook up, doggy hook up, standing...|"
ham,Wat would u like 4 ur birthday?
spam,Our brand new mobile music service is now live. The free music player will arrive shortly. Just install on your phone to browse content from the top artists.
smishing,"Today's Offer! Claim ur £150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898036. £3.00 Sub. 16 ."
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1
ham,NO GIFTS!! You trying to get me to throw myself off a cliff or something?
smishing,URGENT! We are trying to contact U Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050000460 from land line. Claim J89. po box245c2150pm
ham,I dunno until when... Lets go learn pilates...
ham,We r outside already.
ham,Ill be there on  &lt;#&gt;  ok.
ham,Anytime...
ham,Every day i use to sleep after  &lt;#&gt;  so only.
ham,"Hmmm ... And imagine after you've come home from that having to rub my feet, make me dinner and help me get ready for my date ! Are you sure your ready for that kind of life ?"
smishing,FreeMsg Today's the day if you are ready! I'm  & live in your town. I love sex fun & games! Netcollex Ltd 08700621170150p per msg reply Stop to end
ham,"Ok, be careful ! Don't text and drive !"
ham,Pls pls find out from aunt nike.
smishing,You are awarded a SiPix Digital Camera! call 09061221062 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm.
ham,Howz pain.it will come down today.do as i said ystrday.ice and medicine.
ham,Dude avatar 3d was imp. At one point i thought there were actually flies in the room and almost tried hittng one as a reflex
spam,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best."
smishing,"Dear customer your PAY2TMKYC has been expired, It�s will be bl0cked within 24 hour, please contact customer! Care ph� 7044518857 immediately to verify"
ham,Same to u...
smishing,Your 2004 account for 07XXXXXXXXX shows 786 unredeemed points. To claim call 08719181259 Identifier code: XXXXX Expires 26.03.05
ham,You intrepid duo you! Have a great time and see you both soon.
ham,Going thru a very different feeling.wavering decisions and coping up with the same is the same individual.time will heal everything i believe.
ham,I am 6 ft. We will be a good combination!
spam,network operator. The service is free. For T & C's visit 80488.biz
ham,"I'm used to it. I just hope my agents don't drop me since i've only booked a few things this year. This whole me in boston, them in nyc was an experiment."
ham,"Depends on quality. If you want the type i sent boye, faded glory, then about 6. If you want ralphs maybe 2"
spam,dating:i have had two of these. Only started after i sent a text to talk sport radio last week. Any connection do you think or coincidence?
ham,No we sell it all so we'll have tons if coins. Then sell our coins to someone thru paypal. Voila! Money back in life pockets:)
ham,"Ah, well that confuses things, doesn‘t it?"
ham,Its going good...no problem..but still need little experience to understand american customer voice...
ham,I'm doing da intro covers energy trends n pros n cons... Brief description of nuclear fusion n oso brief history of iter n jet got abt 7 n half pages..
ham,"YEH I AM DEF UP4 SOMETHING SAT,JUST GOT PAYED2DAY & I HAVBEEN GIVEN A£50 PAY RISE 4MY WORK & HAVEBEEN MADE PRESCHOOLCO-ORDINATOR 2I AM FEELINGOOD LUV"
smishing,Please CALL 08712402578 immediately as there is an urgent message waiting for you
ham,Yes princess! I want to make you happy...
ham,Going on nothing great.bye
ham,I dont know ask to my brother. Nothing problem some thing that. Just i told .
smishing,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327"
ham,Miles and smiles r made frm same letters but do u know d difference..? smile on ur face keeps me happy even though I am miles away from u.. :-)keep smiling.. Good nyt
spam,"5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, £3 per pole. UnSub 08718727870."
ham,Dude sux for snake. He got old and raiden got buff
ham,So what did the bank say about the money?
ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?
ham,By monday next week. Give me the full gist
ham,All day working day:)except saturday and sunday..
smishing,We have identified some unusual activity on your Online Banking. Log in via the secure link http:/95.141.32.7:81/default.aspx�to avoid account suspension.
spam,"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT"
ham,Wat ü doing now?
smishing,"U've been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday valued at £350! Dial 08712300220 to claim - National Rate Call. Bx526, SW73SS"
smishing,Sorry I missed your call let's talk when you have the time. I'm on 07090201529
smishing,Do you want a new video handset? 750 anytime any network mins? Half Price Line Rental? Camcorder? Reply or call 08000930705 for delivery tomorrow
ham,"Just making dinner, you ?"
ham,As in different styles?
ham,I can make lasagna for you... vodka...
ham,"Sorry, I'll call later..in a meeting.."
ham,I will take care of financial problem.i will help:)
ham,Happy new year. Hope you are having a good semester
smishing,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app
ham,K.k..how is your sister kids?
ham,"Aight I've been set free, think you could text me blake's address? It occurs to me I'm not quite as sure what I'm doing as I thought I was"
ham,Oh just getting even with u.... u?
ham,Oooh I got plenty of those!
ham,Howz that persons story..hope u find out..
ham,Then ü ask dad to pick ü up lar... Ü wan 2 stay until 6 meh...
spam,"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468"
ham,"Multiply the numbers independently and count decimal points then, for the division, push the decimal places like i showed you."
ham,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-).."
ham,"Sorry, I'll call later..hav eto go.."
ham,"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake�"
ham,Hey tmr meet at bugis 930 ?
ham,Today i'm not workin but not free oso... Gee... Thgt u workin at ur fren's shop ?
ham,I'll probably be around mu a lot
ham,Yeah if we do have to get a random dude we need to change our info sheets to PARTY  &lt;#&gt; /7 NEVER STUDY just to be safe
ham,Your gonna be the death if me. I'm gonna leave a note that says its all robs fault. Avenge me.
spam,YES! The only place in town to meet exciting adult singles is now in the UK. Txt CHAT to 86688 now!
ham,You're gonna have to be way more specific than that
ham,Don no da:)whats you plan?
ham,"Solve d Case : A Man Was Found Murdered On  16 April,   AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer..who is it?"
ham,My phone is ringing�
smishing,You have 1 new message. Please call 08715205273
ham,Was gr8 to see that message. So when r u leaving? Congrats dear.
ham,at bruce b downs &amp; fletcher now
ham,K..u also dont msg or reply to his msg..
ham,Pls dont forget to study
ham,I cant wait for cornwall. Hope tonight isnt too bad as well but its rock night shite. Anyway im going for a kip now have a good night. Speak to you soon.
ham,How are you doing. How's the queen. Are you going for the royal wedding
ham,"Come to me right now, Ahmad"
ham,S:-)if we have one good partnership going we will take lead:)
ham,SURBHIi..where are you dear..
ham,You do your studies alone without anyones help. If you cant no need to study.
smishing,Todays Voda numbers ending 5226 are selected to receive a ?350 award. If you hava a match please call 08712300220 quoting claim code 1131 standard rates app
ham,Aiya we discuss later lar... Pick ü up at 4 is it?
smishing,PRIVATE! Your 2003 Account Statement for 07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 Identifier Code: 42478 Expires 24/10/04
ham,I know you are. Can you pls open the back?
ham,"Also north carolina and texas atm, you would just go to the gre site and pay for the test results to be sent."
smishing,PRIVATE! Your 2003 Account Statement for 07973788240 shows 800 un-redeemed S. I. M. points. Call 08715203649 Identifier Code: 40533 Expires 31/10/04
ham,K...k:)why cant you come here and search job:)
ham,"Just checked out, heading out to drop off my stuff now"
spam,Call FREEPHONE 0800 542 0578 now!
ham,"HELLOGORGEOUS, HOWS U? MY FONE WAS ON CHARGE LST NITW WEN U TEXD ME. HOPEU AD A NICE WKEND AS IM SURE U DID LOOKIN 4WARD 2 C-IN U 2MRW LUV JAZ"
ham,So can collect ur laptop?
ham,You need to get up. Now.
ham,Are you in castor? You need to see something
smishing,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209467 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!"
ham,i am seeking a lady in the street and a freak in the sheets. Is that you?
ham,Ok�smart work!!
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;
smishing,"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm"
ham,Hi. I'm sorry i missed your call. Can you pls call back.
ham,"Got ur mail Dileep.thank you so muchand look forward to lots of support...very less contacts here,remember one venugopal you mentioned.tomorrow if not late,i shall try to come up till there.goodnight dear."
ham,Me sef dey laugh you. Meanwhile how's my darling anjie!
ham,Or just do that 6times
ham,Yar i wanted 2 scold u yest but late already... I where got zhong se qing you? If u ask me b4 he ask me then i'll go out w u all lor. N u still can act so real.
ham,In the end she might still vomit but its okay. Not everything will come out.
ham,Gain the rights of a wife.dont demand it.i am trying as husband too.Lets see
ham,Black shirt n blue jeans... I thk i c ü...
ham,Thanks for this hope you had a good day today
ham,So i'm doing a list of buyers.
ham,"Hi, Mobile no.  8623458765 has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com"
ham,Should I head straight there or what
ham,Gibbs unsold.mike hussey
ham,"Okay. No no, just shining on. That was meant to be signing, but that sounds better."
ham,I hate what she does... She turns what should be a fun trip into an annoying day of quarrels and whatever she want her house looks like..
ham,If u dun drive then how i go 2 sch.
smishing,"This is the 2nd time we have tried 2 contact u. U have won the £750 Pound prize. 2 claim is easy, call 087187272008 NOW1! Only 10p per minute. BT-national-rate."
ham,Did u download the fring app?
ham,Hi! This is Roger from CL. How are you?
smishing,You have 1 new voicemail. Please call 08719181513.
ham,K I'll be there before 4.
ham,Customer place i will call you when I wll be free
ham,"Not for possession, especially not first offense"
ham,Am not interested to do like that.
ham,Aiyar u so poor thing... I give u my support k... Jia you! I'll think of u...
ham,Oic... I saw him too but i tot he din c me... I found a group liao...
ham,Sounds like something that someone testing me would sayy
ham,Really... I tot ur paper ended long ago... But wat u copied jus now got use? U happy lar... I still haf 2 study :-(
smishing,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p p£3.99
ham,"I'll see if I can swing by in a bit, got some things to take care of here firsg"
ham,"Daddy, shu shu is looking 4 u... U wan me 2 tell him u're not in singapore or wat?"
ham,"Haha awesome, be there in a minute"
ham,You should get more chicken broth if you want ramen unless there's some I don't know about
ham,Ball is moving a lot.will spin in last :)so very difficult to bat:)
smishing,Loans for any purpose even if you have Bad Credit! Tenants Welcome. Call NoWorriesLoans.com on 08717111821
ham,Do you mind if I ask what happened? You dont have to say if it is uncomfortable.
ham,I wont get concentration dear you know you are my mind and everything :-)
ham,Lol or I could just starve and lose a pound by the end of the day.
smishing,Do you want a NEW video phone750 anytime any network mins 150 text for only five pounds per week call 08000776320 now or reply for delivery tomorrow
ham,Hey gorgeous man. My work mobile number is. Have a good one babe. Squishy Mwahs.
ham,K k :-):-) then watch some films.
ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
ham,Ok no prob... I'll come after lunch then...
ham,"I'd say that's a good sign but, well, you know my track record at reading women"
ham,"Can meh? Thgt some will clash... Really ah, i dun mind... I dun seen to have lost any weight... Gee..."
ham,"I will call you later, I don't have network."
ham,Dude im no longer a pisces. Im an aquarius now.
smishing,Please CALL 08712402578 immediately as there is an urgent message waiting for you
ham,Hi neva worry bout da truth coz the truth will lead me 2 ur heart. Its the least a unique person like u deserve. Sleep tight or morning
ham,hiya hows it going in sunny africa? hope u r avin a good time. give that big old silver back a big kiss from me.
ham,Nooooooo I'm gonna be bored to death all day. Cable and internet outage.
ham,Lol I would but despite these cramps I like being a girl.
ham,I‘ll have a look at the frying pan in case it‘s cheap or a book perhaps. No that‘s silly a frying pan isn‘t likely to be a book
ham,"Er yeah, i will b there at 15:26, sorry! Just tell me which pub/cafe to sit in and come wen u can"
ham,"Got hella gas money, want to go on a grand nature adventure with galileo in a little bit?"
ham,"I'm not coming over, do whatever you want"
ham,Thank you. I like you as well...
ham,I can take you at like noon
spam,Sex up ur mobile with a FREE sexy pic of Jordan! Just text BABE to 88600. Then every wk get a sexy celeb! PocketBabe.co.uk 4 more pics. 16 £3/wk 087016248
ham,"Oh right, ok. I'll make sure that i do loads of work during the day!  got a really nasty cough today and is dry n shot so that should really help it!"
ham,"Oh... Haha... Den we shld had went today too... Gee, nvm la... Kaiez, i dun mind goin jazz oso... Scared hiphop open cant catch up..."
