text,label,is_augmented,source,augmentation_type
"Your tax refund of �349.14 is ready to be claimed. To access your refund, follow the steps required. http:/bit.do/Claim-Tax",phishing,False,mendeley_original,original
Dear Customer your pyatm wallet Has been booked and hold Your amount please complete your kyc contact customer care 6200992462,phishing,False,mendeley_original,original
PRIVATE! Your 2003 Account Statement for 07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 Identifier Code: 42478 Expires 24/10/04,phishing,False,mendeley_original,original
ITS A LAPTOP TAKE IT WITH YOU.,ham,False,mendeley_ham,original
Are your freezing ? Are you home yet ? Will you remember to kiss your mom in the morning? Do you love me ? Do you think of me ? Are you missing me yet ?,ham,False,mendeley_ham,original
Depends on where u going lor.,ham,False,mendeley_ham,original
i can call in  &lt;#&gt;  min if thats ok,ham,False,mendeley_ham,original
No. To be nosy I guess. Idk am I over reacting if I'm freaked?,ham,False,mendeley_ham,original
"Your unique user ID is 1172. To ensure your account remains secure, please reply STOP to 87239 or contact customer support at 0870 803 4412 immediately.",phishing,True,gpt_augmented,enhance
You've received a photo request. View your image now at https://picsgallery.com/view?photoId=56789. Don't miss it!,phishing,True,gpt_augmented,rephrase
I bought the test yesterday. Its something that lets you know the exact day u ovulate.when will get 2u in about 2 to 3wks. But pls pls dont fret. I know u r worried. Pls relax. Also is there anything in ur past history u need to tell me?,ham,False,mendeley_ham,original
Your account has been temporarily locked! Verify your identity now at 855-212-4690 to regain access immediately!,phishing,True,gpt_augmented,rewrite
Hi if ur lookin 4 saucy daytime fun wiv busty married woman Am free all next week Chat now 2 sort time 09099726429 JANINExx Calls£1/minMobsmoreLKPOBOX177HP51FL,phishing,False,mendeley_original,original
2marrow only. Wed at  &lt;#&gt;  to 2 aha.,ham,False,mendeley_ham,original
Then we gotta do it after that,ham,False,mendeley_ham,original
Exclusive Alert! Unlock your FREE 3-month streaming subscription! Reply NOW to 12345 to claim your access! Limited time only! Msg & data rates apply.,phishing,True,gpt_augmented,rewrite
Congratulations! You've been randomly selected to receive a FREE premium subscription to StreamMax for 6 months! Call 08001234567 to claim now!,phishing,True,gpt_augmented,rewrite
You flippin your shit yet?,ham,False,mendeley_ham,original
No dear i was sleeping :-P,ham,False,mendeley_ham,original
Pass dis to all ur contacts n see wat u get! Red;i'm in luv wid u. Blue;u put a smile on my face. Purple;u r realy hot. Pink;u r so swt. Orange;i thnk i lyk u. Green;i realy wana go out wid u. Yelow;i wnt u bck. Black;i'm jealous of u. Brown;i miss you Nw plz giv me one color,ham,False,mendeley_ham,original
Hey!!! I almost forgot ... Happy B-day babe ! I love ya!!,ham,False,mendeley_ham,original
"How long has it been since you screamed, princess?",ham,False,mendeley_ham,original
That's the way you should stay oh.,ham,False,mendeley_ham,original
"(Help-Center Canada) You received a Transfer from The Government due to the CoronaVirus pandemic, Click:http://23.254.215.52 to fill out your Application.",phishing,False,mendeley_original,original
We regret to inform you that your NAB card is now locked. To unlock please update security details at http://www.nabmobile,phishing,False,mendeley_original,original
"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try",ham,False,mendeley_ham,original
"Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180",phishing,False,mendeley_original,original
"URGENT. Important information for 02 user. Today is your lucky day! 2 find out why , log onto http://www.urawinner.com there is a fantastic surprise awaiting you !",phishing,False,mendeley_original,original
No. Yes please. Been swimming?,ham,False,mendeley_ham,original
Congrats ! Treat pending.i am not on mail for 2 days.will mail once thru.Respect mother at home.check mails.,ham,False,mendeley_ham,original
Hi there. We have now moved in2 our pub . Would be great 2 c u if u cud come up.,ham,False,mendeley_ham,original
Speaking of does he have any cash yet?,ham,False,mendeley_ham,original
Majestic mountains to calm beaches. Adventure holidays to quiet getaways. Manali to Ooty. Puri to Munnar. Holiday for 25 years.EMIs frm Rs.2366. T&C. 9895930777,phishing,False,mendeley_original,original
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203694 Identifier Code: 40533 Expires 31/10/04,phishing,False,mendeley_original,original
"URGENT! Your mobile number *************** WON a £2000 Bonus Caller prize on 10/06/03! This is the 2nd attempt to reach you! Call 09066368753 ASAP! Box 97N7QP, 150ppm",phishing,False,mendeley_original,original
Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX,phishing,False,mendeley_original,original
"Congratulations! You’ve won a FREE high-definition VIDEO CAMERA! To claim your prize, simply text CLICK to 12345. Opt-out? Reply STOP to 67890.",phishing,True,gpt_augmented,rephrase
"Please call our customer service representative on 7044518857 between 10am-9pm as you have W0N a guaranteed cash prize of Rs.5,00,000. FL1PKART TEAM",phishing,False,mendeley_original,original
"Congratulations! You're eligible for 4 months of half-price Orange line rental and the latest camera phones at no cost. This exclusive offer expires soon, so call MobilesDirect at 0800 093 8766 now!",phishing,True,gpt_augmented,enhance
P just made your holidays more fun. Buy any HP pavilion notebook & get a Kodak camera. Shoot it. Share it. T&C apply. HP World: WOC Rd 9986686555 / 991697439,phishing,False,mendeley_original,original
Good morning pookie pie! Lol hope I didn't wake u up,ham,False,mendeley_ham,original
Good Morning my Dear........... Have a great &amp; successful day.,ham,False,mendeley_ham,original
"Claim a 200 shopping spree, just call 08717895698 now! Have you won! MobStoreQuiz10ppm",phishing,False,mendeley_original,original
Free Msg: Ringtone!From: http://tms. widelive.com/index. wml?id=1b6a5ecef91ff9*37819&first=true18:0430-JUL-05,phishing,False,mendeley_original,original
"I guess that's why you re worried. You must know that there's a way the body repairs itself. And i'm quite sure you shouldn't worry. We'll take it slow. First the tests, they will guide when your ovulation is then just relax. Nothing you've said is a reason to worry but i.ll keep on followin you up.",ham,False,mendeley_ham,original
What's the significance?,ham,False,mendeley_ham,original
"Congratulations! You’ve been selected for an exclusive prize of £1000! Call us at 08081234567 and use code WIN123. Act fast, offer ends in 12 hours!",phishing,True,gpt_augmented,rephrase
I probably won't eat at all today. I think I'm gonna pop. How was your weekend? Did u miss me?,ham,False,mendeley_ham,original
What Today-..sunday is holiday..so no work..,ham,False,mendeley_ham,original
Now got tv 2 watch meh? U no work today?,ham,False,mendeley_ham,original
But i'll b going 2 sch on mon. My sis need 2 take smth.,ham,False,mendeley_ham,original
"Sorry, I can't help you on this.",ham,False,mendeley_ham,original
ALERT! Your Netflix account is on hold due to a billing issue. Please verify your payment info immediately at netflix-support.com or risk suspension!,phishing,True,gpt_augmented,rewrite
Your bill at 3 is £33.65 so thats not bad!,ham,False,mendeley_ham,original
todays vodafone numbers ending with 0089(my last four digits) are selected to received a £350 award. If your number matches please call 09063442151 to claim your £350 award,phishing,False,mendeley_original,original
"Prem Jewellrs Vijaynagar Lucky draw scheme , monthly Rs 300 for 12 month, every month lucky member will be given Rs3600 gold or silver article.Call-9008097492",phishing,False,mendeley_original,original
Congratulations! You've been selected for a special loyalty bonus of $200 from Amazon. Claim your reward now! Visit: http://bit.ly/AmazonReward2025,phishing,True,gpt_augmented,rewrite
"WELL DONE! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",phishing,False,mendeley_original,original
URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790321 from land line. Claim 3030. Valid 12hrs only 150ppm,phishing,False,mendeley_original,original
Congratulations! Your Netflix account has been selected for a complimentary 6-month upgrade. Click here to verify your details: bit.ly/netflix-upgrade. Act fast!,phishing,True,gpt_augmented,rewrite
"Your account has been charged AUD 590.30 on 08/02/17 at 11:17:37. If this transaction was not authorized, please verify immediately: http://secure.gommbanklogin.netbank.com",phishing,True,gpt_augmented,enhance
Congratulations! You've been selected for a cash reward of £2500! Call us now at 0800 123 4567 by 10pm to claim your prize from RewardsCo!,phishing,True,gpt_augmented,rephrase
Oh god. I'm gonna Google nearby cliffs now.,ham,False,mendeley_ham,original
Ya even those cookies have jelly on them,ham,False,mendeley_ham,original
Or just do that 6times,ham,False,mendeley_ham,original
"A Boy loved a gal. He propsd bt she didnt mind. He gv lv lttrs, Bt her frnds threw thm. Again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. Wn it was about 2 hit d girl,d boy ran like hell n saved her. She asked 'hw cn u run so fast?' D boy replied ""Boost is d secret of my energy"" n instantly d girl shouted ""our energy"" n Thy lived happily 2gthr drinking boost evrydy.",ham,False,mendeley_ham,original
Urgent! Please call 09061743811 from landline. Your ABTA complimentary 4* Tenerife Holiday or £5000 cash await collection SAE T&Cs Box 326 CW25WX 150ppm,phishing,False,mendeley_original,original
Dear where you will be when i reach there,ham,False,mendeley_ham,original
Ok i juz receive..,ham,False,mendeley_ham,original
Congratulations! You’ve won an all-expenses-paid trip to the beautiful Maldives or £5000! Call 0800-123-4567 now to claim your prize. Terms apply.,phishing,True,gpt_augmented,rephrase
How much she payed. Suganya.,ham,False,mendeley_ham,original
I'm vivek:)i got call from your number.,ham,False,mendeley_ham,original
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £2000 Bonus Prize, call 09066364529",phishing,False,mendeley_original,original
Msgs r not time pass.They silently say that I am thinking of U right now and also making U think of me at least 4 a moment. Gd nt.swt drms @Shesil,ham,False,mendeley_ham,original
Valentines Day Special! Win over £1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.,phishing,False,mendeley_original,original
"Yup, leaving right now, be back soon",ham,False,mendeley_ham,original
What's up my own oga. Left my phone at home and just saw ur messages. Hope you are good. Have a great weekend.,ham,False,mendeley_ham,original
I had askd u a question some hours before. Reply to that,ham,False,mendeley_ham,original
"We have received a request from you for purchasing Paytm Payments Bank FASTag. Total amount to be paid is Rs 250/- (Tag Cost Rs. 100 Security Deposit Rs. 0, Threshold -Rs. 150). In case of any queries, please contact us at https://m.paytm.me/fastag-help",phishing,False,mendeley_original,original
Ok. I only ask abt e movie. U wan ktv oso?,ham,False,mendeley_ham,original
"Fyi I'm taking a quick shower, be at epsilon in like  &lt;#&gt;  min",ham,False,mendeley_ham,original
Happy birthday... May ur wishes come true and stay blessed...,ham,False,mendeley_ham,original
You have 1 new message. Call 0207-083-6089,phishing,False,mendeley_original,original
JUSWOKE UP IN A BED ON A BOATIN THE DOCKS. SLEPT WID 25 YEAR OLD. SPINOUT! GIV U DA GOSSIP L8R. XXX,ham,False,mendeley_ham,original
URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050003092 from land line. Claim C52. Valid 12hrs only,phishing,False,mendeley_original,original
Gam gone after outstanding innings.,ham,False,mendeley_ham,original
We have identified some unusual activity on your Online Banking. Log in via the secure link http:/95.141.32.7:81/default.aspx�to avoid account suspension.,phishing,False,mendeley_original,original
Anything lor but toa payoh got place 2 walk meh...,ham,False,mendeley_ham,original
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04,phishing,False,mendeley_original,original
Package all your programs well,ham,False,mendeley_ham,original
"Please call our customer service representative on 6299257179 between 10am-9pm as you have W0N a guaranteed cash prize of Rs.5,00,000 FL1PKART TEAM",phishing,False,mendeley_original,original
"Congratulations! As a valued customer of TravelLux, you’re eligible for exclusive access to complimentary VIP lounge passes. Call 0800-123-4567 now and mention code LOUNGE2 to claim!",phishing,True,gpt_augmented,rephrase
Mmm so yummy babe ... Nice jolt to the suzy,ham,False,mendeley_ham,original
Is it your yahoo boys that bring in the perf? Or legal.,ham,False,mendeley_ham,original
I'm on my way home. Went to change batt 4 my watch then go shop a bit lor.,ham,False,mendeley_ham,original
ALERT: Your Amazon account has been flagged for suspicious activity. Confirm your identity now to avoid account suspension. Click here: https://secure-amazon-verification.com,phishing,True,gpt_augmented,rewrite
Bring it if you got it,ham,False,mendeley_ham,original
Dear Customer your pyatm wallet Has been booked and hold Your amount please complete your kyc contact customer care 8536074310,phishing,False,mendeley_original,original
U ned to convince him tht its not possible witot hurting his feeling its the main,ham,False,mendeley_ham,original
"Dear Matthew, please contact us urgently at 09063440451 from a landline. You have been selected for a complimentary 4* luxury holiday in Tenerife or £1000 cash. Terms apply.",phishing,True,gpt_augmented,enhance
IMPORTANT NOTICE for ORANGE USER 0796XXXXXX: Today could change everything for you! Visit http://www.urawinner.com to claim your exclusive prize. Act fast!,phishing,True,gpt_augmented,enhance
When are you going to ride your bike?,ham,False,mendeley_ham,original
"Dear Customer, we regret to inform you that your New Year delivery is pending. Kindly contact our delivery team at 07046744435 immediately to confirm arrangements.",phishing,True,gpt_augmented,enhance
We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT + free camcorder Reply of call 08000930705 Now,phishing,False,mendeley_original,original
You have an important customer service announcement. Call FREEPHONE 0800 542 0826 now!,phishing,False,mendeley_original,original
In xam hall boy asked girl Tell me the starting term for dis answer I can den manage on my own After lot of hesitation n lookin around silently she said THE! intha ponnungale ipaditan;),ham,False,mendeley_ham,original
Important: Your Netflix account is on hold! Reactivate now to avoid interruption. Click here: http://bit.ly/reactivateNetflix ASAP!,phishing,True,gpt_augmented,rewrite
How much are we getting?,ham,False,mendeley_ham,original
Dunno lei shd b driving lor cos i go sch 1 hr oni.,ham,False,mendeley_ham,original
Pls clarify back if an open return ticket that i have can be preponed for me to go back to kerala.,ham,False,mendeley_ham,original
I am not having her number sir,ham,False,mendeley_ham,original
Hey... Why dont we just go watch x men and have lunch... Haha,ham,False,mendeley_ham,original
Mom wants to know where you at,ham,False,mendeley_ham,original
Ok no problem... Yup i'm going to sch at 4 if i rem correctly...,ham,False,mendeley_ham,original
"URGENT! Dear FL1PKART Customer, We are trying to contact you. Last weekends draw shows that you w0n a Rs.2,00,000 prize GUARANTEED. Call 6299257179. Claim Code FLIP02. Valid 12hrs only.",phishing,False,mendeley_original,original
Bbq this sat at mine from 6ish. Ur welcome 2 come,ham,False,mendeley_ham,original
Still chance there. If you search hard you will get it..,ham,False,mendeley_ham,original
1. Tension face 2. Smiling face 3. Waste face 4. Innocent face 5.Terror face 6.Cruel face 7.Romantic face 8.Lovable face 9.decent face  &lt;#&gt; .joker face.,ham,False,mendeley_ham,original
Congratulations - in this week's competition draw u have won the �1450 prize to claim just call 09050002312 . T&Cs/stop SMS 08718727868.,phishing,False,mendeley_original,original
Ok i will tell her to stay out. Yeah its been tough but we are optimistic things will improve this month.,ham,False,mendeley_ham,original
Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow for sure..,ham,False,mendeley_ham,original
Black shirt n blue jeans... I thk i c ü...,ham,False,mendeley_ham,original
"Someone U know has asked our dating service 2 contact you! Cant guess who? CALL 09058095107 NOW all will be revealed. POBox 7, S3XY 150p",phishing,False,mendeley_original,original
How did you find out in a way that didn't include all of these details,ham,False,mendeley_ham,original
I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,ham,False,mendeley_ham,original
"ALERT! Your account has been credited with $500 in cashback! To claim, reply YES now. (To unsubscribe, text STOP to 12345. Msg & Data rates may apply.)",phishing,True,gpt_augmented,rewrite
"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!!",ham,False,mendeley_ham,original
"Congratulations! Your Netflix account has been randomly selected for a $500 service upgrade. To claim, please visit: netflix-upgrade2024.com and enter code 5678.",phishing,True,gpt_augmented,rewrite
"Final Chance! Claim ur £150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile!",phishing,False,mendeley_original,original
I'm already back home so no probably not,ham,False,mendeley_ham,original
:( but your not here....,ham,False,mendeley_ham,original
Do you always celebrate NY's with your family ?,ham,False,mendeley_ham,original
I don't run away frm u... But it kills me that u don't care enough to stop me�,ham,False,mendeley_ham,original
Happy birthday... May all ur dreams come true...,ham,False,mendeley_ham,original
U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565,phishing,False,mendeley_original,original
Becoz its  &lt;#&gt;  jan whn al the post ofice is in holiday so she cn go fr the post ofice...got it duffer,ham,False,mendeley_ham,original
Urgent Please call 09066612661 from landline. £5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE award. 20M12AQ. 150ppm. 16+ “,phishing,False,mendeley_original,original
"A few people are at the game, I'm at the mall with iouri and kaila",ham,False,mendeley_ham,original
"By the way, 'rencontre' is to meet again. Mountains dont....",ham,False,mendeley_ham,original
Gud ni8 dear..slp well..take care..swt dreams..Muah..,ham,False,mendeley_ham,original
In life when you face choices Just toss a coin not becoz its settle the question But while the coin in the air U will know what your heart is hoping for. Gudni8,ham,False,mendeley_ham,original
U call me alter at 11 ok.,ham,False,mendeley_ham,original
ALERT! Your Netflix account has been compromised! Confirm your identity to avoid suspension. Click here: bit.ly/NetflixSecure NOW!,phishing,True,gpt_augmented,rewrite
Thanks for understanding. I've been trying to tell sura that.,ham,False,mendeley_ham,original
"All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:""if it is made by my students,this wont even start........ Datz confidence..",ham,False,mendeley_ham,original
It is only yesterday true true.,ham,False,mendeley_ham,original
Tired. I haven't slept well the past few nights.,ham,False,mendeley_ham,original
"After my work ah... Den 6 plus lor... U workin oso rite... Den go orchard lor, no other place to go liao...",ham,False,mendeley_ham,original
"URGENT!: Your Mobile No. was awarded a £2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU",phishing,False,mendeley_original,original
"Dear customer your PAY2TMKYC has been expired, It�s will be bl0cked within 24 hour, please contact customer! Care ph� 6200992462 immediately to verify",phishing,False,mendeley_original,original
"K give me a sec, breaking a  &lt;#&gt;  at cstore",ham,False,mendeley_ham,original
200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 8000930705,phishing,False,mendeley_original,original
SURBHIi..where are you dear..,ham,False,mendeley_ham,original
I think the other two still need to get cash but we can def be ready by 9,ham,False,mendeley_ham,original
"Sorry, I'll call later..in a meeting..",ham,False,mendeley_ham,original
Congratulations! You’ve been chosen to win a £2000 cash prize! Call 08001234567 NOW to claim your reward. Standard call rates apply. 18+. Terms and conditions.,phishing,True,gpt_augmented,rephrase
You're not sure that I'm not trying to make xavier smoke because I don't want to smoke after being told I smoke too much?,ham,False,mendeley_ham,original
If anyone calls for a treadmill say you'll buy it. Make sure its working. I found an ad on Craigslist selling for $ &lt;#&gt; .,ham,False,mendeley_ham,original
You have 1 new voicemail. Please call 08719181513.,phishing,False,mendeley_original,original
"Local Covid19 Study: Compensation up to $1,220! Qualify Here:1200cash4study1.com/",phishing,False,mendeley_original,original
Urgent Ur £500 guaranteed award is still unclaimed! Call 09066368327 NOW closingdate04/09/02 claimcode M39M51 £1.50pmmorefrommobile2Bremoved-MobyPOBox734LS27YF,phishing,False,mendeley_original,original
"Congrats 2 mobile 3G Videophones R yours. call 09063458120 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl.",phishing,False,mendeley_original,original
You have 1 new voicemail. Please call 08719181503,phishing,False,mendeley_original,original
"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/rewa",phishing,False,mendeley_original,original
The Xmas story is peace.. The Xmas msg is love.. The Xmas miracle is jesus.. Hav a blessed month ahead &amp; wish U Merry Xmas...,ham,False,mendeley_ham,original
"IMPORTANT! You've been selected for a $2,500 reward from BestMobile! Call 08009123456 now to claim. Offer lasts for 10 hours only, 75p/min.",phishing,True,gpt_augmented,rephrase
Bloomberg -Message center +447797706009 Why wait? Apply for your futur,phishing,False,mendeley_original,original
Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can...,ham,False,mendeley_ham,original
Congratulations! Your Promotion Number: 8714714 has secured you a City Break and a £200 Summer Shopping spree. Claim your prize by calling 0871 873 8034 now!,phishing,True,gpt_augmented,enhance
I've told you everything will stop. Just dont let her get dehydrated.,ham,False,mendeley_ham,original
"Congratulations! You've been selected for a FREE year of Netflix! Just reply START to 555-1234 to claim your prize. Don't miss out, limited time only!",phishing,True,gpt_augmented,rewrite
Congratulations! Your entry number 9248372 has won a luxury weekend getaway and a £250 shopping voucher! Call us at 0800-123-4567 to claim now!,phishing,True,gpt_augmented,rephrase
"Yeah I am, so I'll leave maybe 7ish?",ham,False,mendeley_ham,original
URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701851. Claim code K61. Valid 12hours only,phishing,False,mendeley_original,original
I dont want to hear anything,ham,False,mendeley_ham,original
Ok... But they said i've got wisdom teeth hidden inside n mayb need 2 remove.,ham,False,mendeley_ham,original
Your account has been flagged for unusual activity. Please verify your identity to avoid suspension. Click here: bit.ly/secure-verify-2024,phishing,True,gpt_augmented,rewrite
"Loan  INR5,00,000 - 7,50,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669",phishing,False,mendeley_original,original
Do you want a new Video phone? 600 anytime any network mins 400 Inclusive Video calls AND downloads 5 per week Free delTOMORROW call 08002888812 or reply NOW,phishing,False,mendeley_original,original
Lol yep did that yesterday. Already got my fireplace. Now its just another icon sitting there for me.,ham,False,mendeley_ham,original
Thk some of em find wtc too far... Weiyi not goin... E rest i dunno yet... R ur goin 4 dinner den i might b able to join...,ham,False,mendeley_ham,original
URGENT NOTICE: Congratulations! Your mobile number has been selected for a £2000 cash prize. Please call 09061790121 from a landline to claim. Offer valid for 12 hours only.,phishing,True,gpt_augmented,enhance
Usually the person is unconscious that's in children but in adults they may just behave abnormally. I.ll call you now,ham,False,mendeley_ham,original
I'm really not up to it still tonight babe,ham,False,mendeley_ham,original
Pansy! You've been living in a jungle for two years! Its my driving you should be more worried about!,ham,False,mendeley_ham,original
"Congratulations! As a valued customer of QuickSIM, you've won an exclusive gift! To claim your prize, please call 08001234567 before May 1st.",phishing,True,gpt_augmented,rephrase
"Dear Customer Your order of 42.84 Euro has been approved if you didnt purchased anything or it you believe an unauthorized person has accessed your account, please access the link below http:/95.141.32.7:81/orders.aspx",phishing,False,mendeley_original,original
I hope U understand what I am saying..lol.,ham,False,mendeley_ham,original
Prepare to be pounded every night...,ham,False,mendeley_ham,original
Important Alert: Your Bank ATM card has been TEMPORARILY SUSPENDED due to a system upgrade. Please call support at 800-123-4567 immediately to reactivate it.,phishing,True,gpt_augmented,rephrase
"Haha figures, well I found the piece and priscilla's bowl",ham,False,mendeley_ham,original
Congratulations! You've been selected for an exclusive Amazon gift card worth $500. Click the link to claim your prize now: amazon.com/redeem-2025,phishing,True,gpt_augmented,rewrite
Great News! Call FREEFONE 08006344447 to claim your guaranteed £1000 CASH or £2000 gift. Speak to a live operator NOW!,phishing,False,mendeley_original,original
U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,phishing,False,mendeley_original,original
Maybe i could get book out tomo then return it immediately ..? Or something.,ham,False,mendeley_ham,original
Lol I would but my mom would have a fit and tell the whole family how crazy and terrible I am,ham,False,mendeley_ham,original
Ok lor. Msg me b4 u call.,ham,False,mendeley_ham,original
Congratulations! Your account has won a FREE smart device worth £500! Verify your details at www.gadgetpromo2025.com to claim now!,phishing,True,gpt_augmented,rewrite
"I don't think I can get away for a trek that long with family in town, sorry",ham,False,mendeley_ham,original
Your Netflix account needs verification to continue streaming. Click here: http://nfx-support.com/verify?id=587423b9a1eabc123! Don't miss your shows!,phishing,True,gpt_augmented,rewrite
Urgent! Our records show you may qualify for financial compensation due to a recent incident. Text CLAIM for details or STOP to unsubscribe.,phishing,True,gpt_augmented,rephrase
"ALERT! Hello valued AMAZON user, You've been selected in our recent lottery! You've won a cash prize of ₹7,00,000! Call 9876543210. Code X45 valid for 12 hours!",phishing,True,gpt_augmented,rephrase
Dear Customer your pyatm wallet Has been booked and hold Your amount please complete your kyc contact customer care 8927307655,phishing,False,mendeley_original,original
"URGENT NOTICE: Congratulations! Your mobile number has been selected for a guaranteed prize of ₹200,000. To claim, please call our hotline at 7679046492 within the next 12 hours. Don't miss out!",phishing,True,gpt_augmented,enhance
U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,phishing,False,mendeley_original,original
She's fine. Sends her greetings,ham,False,mendeley_ham,original
You have WON a guaranteed £1000 cash or a £2000 prize.To claim yr prize call our customer service representative on 08714712413,phishing,False,mendeley_original,original
1 in cbe. 2 in chennai.,ham,False,mendeley_ham,original
